series_idx,window_start,window_end,anchor_index,curv_pred,curv_real,left_radius_pred,right_radius_pred,left_radius_real,right_radius_real,side_pred,side_real,iid_avg_window,sonar_distance_last
186,186,190,190,0.0016666667070239782,0.0012499999720603228,600.0,400.0,800.0,450.0,left,left,5.345621109008789,0.935827374458313
187,187,191,191,0.0020000000949949026,0.0013333333190530539,500.0,300.0,750.0,350.0,left,left,4.644033908843994,0.8085518479347229
188,188,192,192,0.0016666667070239782,0.001176470541395247,600.0,250.0,850.0,300.0,left,left,3.5073025226593018,0.7179725170135498
189,189,193,193,0.0010526315309107304,0.00074074073927477,950.0,250.0,1350.0,300.0,left,left,4.607637882232666,0.6813731789588928
190,190,194,194,0.00074074073927477,0.0006249999860301614,1350.0,nan,1600.0,250.0,left,left,5.0900678634643555,0.7183474898338318
191,191,195,195,0.00039999998989515007,0.00039999998989515007,2500.0,nan,2500.0,300.0,left,left,6.295778751373291,0.790795087814331
192,192,196,196,0.00039999998989515007,0.00039999998989515007,2500.0,250.0,2500.0,350.0,left,left,7.268185615539551,0.7366082668304443
193,193,197,197,0.00039999998989515007,0.00039999998989515007,2500.0,350.0,2500.0,600.0,left,left,7.217926979064941,1.537017822265625
194,194,198,198,0.00039999998989515007,0.0005555555690079927,2500.0,400.0,1800.0,550.0,left,left,6.697195529937744,1.245617389678955
195,195,199,199,0.00039999998989515007,0.0006666666595265269,2500.0,400.0,1500.0,500.0,left,left,6.781725883483887,1.1548807621002197
196,196,200,200,0.00039999998989515007,0.0007692307699471712,2500.0,300.0,1300.0,500.0,left,left,6.343559741973877,1.0087168216705322
197,197,201,201,0.001176470541395247,0.0009523809421807528,850.0,350.0,1050.0,450.0,left,left,5.921374320983887,0.9904917478561401
198,198,202,202,0.0012499999720603228,0.0010000000474974513,800.0,300.0,1000.0,400.0,left,left,7.058663368225098,0.8820943832397461
199,199,203,203,0.0011111111380159855,0.0009090909152291715,900.0,350.0,1100.0,400.0,left,left,6.4877777099609375,0.33628374338150024
200,200,204,204,0.0006249999860301614,0.0006451613153330982,1600.0,450.0,1550.0,500.0,left,left,6.27554988861084,1.0814682245254517
